threshold,risk_percentile_cutoff,flagged_users,true_positives,false_positives,false_negatives,true_negatives,precision,recall,false_positive_rate,specificity,f1_score,alerts_per_1000_users,prevented_loss_usd,false_positive_cost_usd,estimated_net_savings_usd,net_savings_per_flagged_user_usd
conservative,0.95,501,501,0,399,9100,1.0,0.5566666666666666,0.0,1.0,0.715203426124197,50.1,18720.279999999948,0.0,18720.279999999948,37.36582834331327
balanced,0.9,1001,900,101,0,8999,0.8991008991008991,1.0,0.011098901098901099,0.9889010989010989,0.9468700683850605,100.1,26520.839999999913,142.15370499999997,26378.686294999912,26.352333961038873
aggressive,0.82,1801,900,901,0,8199,0.4997223764575236,1.0,0.09901098901098901,0.900989010989011,0.6664198445020363,180.10000000000002,26520.839999999913,874.05548,25646.784519999914,14.24030234314265
